Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Пол пациента,Пол Пациента
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1040,1.2.643.5.1.13.13.11.1040
CODE,ID,NAME,ID
8313/3,231,Мужской,1
8380/3 ,277,Мужской,1
8381/3,280,Мужской,1
8382/3,281,Мужской,1
8383/3,282,Мужской,1
8384/3,283,Мужской,1
8441/3,320,Мужской,1
8460/3,334,Мужской,1
8471/3,341,Мужской,1
8482/3,351,Мужской,1
8600/3,429,Мужской,1
8670/3,457,Мужской,1
8930/3,620,Мужской,1
8931/3,621,Мужской,1
8934/3,624,Мужской,1
8950/3,634,Мужской,1
8951/3 ,635,Мужской,1
9000/3,664,Мужской,1
9014/3,671,Мужской,1
9015/3,674,Мужской,1
9090/3,720,Мужской,1
9061/3,700,Женский,2
9062/3,701,Женский,2
9063/3,702,Женский,2
