Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная статистическая классификация болезней и проблем, связанных со здоровьем (10-й пересмотр),Международная статистическая классификация болезней и проблем, связанных со здоровьем (10-й пересмотр)
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1005,1.2.643.5.1.13.13.11.1005
CODE,ID,MKB_CODE,ID
8156/3,136,C80,1374
8158/3,1149,C80,1374
8480/6,349,C78.6,1361
8490/6,353,C79.6,1371
8711/0,474,D18.0,1607
8712/0,476,D18.0,1607
8713/0,477,D18.0,1607
9170/0,762,D18.1,1608
9171/0,764,D18.1,1608
9172/0,765,D18.1,1608
9173/0,766,D18.1,1608
9174/0,767,D18.1,1608
9175/0,769,D18.1,1608
9590/3,961,C85.9,1411
9591/1,1233,D47.7,1794
9591/3,962,C85.9,1411
9596/3,963,C85.9,1411
9597/3,964,C85.7,1410
9650/3,966,C81.9,1382
9651/3,967,C81.7,1381
9652/3,968,C81.2,1379
9653/3,969,C81.3,1380
9654/3,970,C81.3,1380
9655/3,971,C81.3,1380
9659/3,972,C81.0,1377
9661/3,973,C81.7,1381
9662/3,974,C81.7,1381
9663/3,975,C81.1,1378
9664/3,976,C81.1,1378
9665/3,977,C81.1,1378
9667/3,978,C81.1,1378
9671/3,982,C83.0,1390
9673/1,1234,D47.9,1795
9673/3,983,C83.1,1391
9675/3,984,C83.8,1398
9678/3,985,C83.8,1398
9679/3,986,C83.3,1393
9680/1,987,D47.9,1795
9680/3,1235,C83.3,1393
9684/3,988,C83.4,1394
9687/3,989,C83.7,1397
9688/3,990,C83.3,1393
9689/3,991,C83.0,1390
9690/3,992,C82.9,1388
9691/3,993,C82.1,1385
9695/1,1236,D47.9,1795
9695/3,994,C82.0,1384
9698/3,995,C82.2,1386
9699/3,996,C83.0,1390
9700/3,998,C84.0,1401
9701/3,999,C84.1,1402
9702/1,1237,D47.7,1794
9702/3,1000,C84.4,1405
9705/3,1001,C84.4,1405
9708/3,1002,C84.5,1406
9709/1,1238,D47.7,1794
9709/3,1003,C84.5,1406
9712/3,1004,C83.8,1398
9714/3,1005,C83.3,1393
9715/3,1239,C85.7,1410
9716/3,1006,C84.5,1406
9717/3,1007,C84.5,1406
9718/1,1240,D47.7,1794
9718/3,1008,C84.4,1405
9719/3,1009,C84.5,1406
9724/3,1011,C96.7,1466
9725/1,1241,D47.7,1794
9726/3,1013,C84.4,1405
9727/3,1014,C96.7,1466
9731/3,1018,C90.2,1422
9732/3,1019,C90.0,1420
9733/3,1020,C90.1,1421
9734/3,1021,C90.2,1422
9735/3,1022,C83.3,1393
9737/3,1023,C83.3,1393
9738/3,1024,C85.7,1410
9740/1,1026,D47.0,1790
9740/3,1027,C96.2,1464
9741/1,1028,D47.0,1790
9741/3,1029,C96.2,1464
9742/3,1030,C94.3,1451
9749/3,1242,C96.2,1464
9750/3,1032,C96.1,1463
9751/1,1243,D76.0,1949
9751/3,1033,C96.0,1462
9755/3,1034,C96.3,1465
9756/3,1035,C96.7,1466
9757/3,1036,C96.7,1466
9758/3,1037,C96.7,1466
9759/3,1038,C96.7,1466
9760/3,1040,C88.9,1418
9761/1,1244,D47.2,1792
9761/3,1041,C88.0,1413
9762/3,1042,C88.2,1415
9764/3,1043,C88.3,1416
9765/1,1044,D47.2,1792
9766/1,1045,D47.9,1795
9766/3,1245,C83.8,1398
9767/1,1046,D47.9,1795
9768/1,1047,D47.9,1795
9769/1,1048,D47.9,1795
9800/3,1051,C95.9,1460
9801/3,1052,C95.0,1456
9805/3,1053,C95.0,1456
9806/3,1054,C95.0,1456
9807/3,1055,C95.0,1456
9808/3,1056,C95.0,1456
9809/3,1057,C95.0,1456
9811/3,1059,C91.7,1430
9812/3,1060,C91.7,1430
9813/3,1061,C91.7,1430
9814/3,1062,C91.7,1430
9815/3,1063,C91.7,1430
9816/3,1064,C91.7,1430
9817/3,1065,C91.7,1430
9818/3,1066,C91.7,1430
9819/3,1246,C91.7,1430
9820/3,1067,C91.9,1431
9823/1,1247,D47.7,1794
9823/3,1068,C91.1,1425
9827/3,1070,C91.5,1429
9831/3,1071,C91.7,1430
9832/3,1072,C91.3,1427
9833/3,1073,C91.3,1427
9834/3,1074,C91.3,1427
9835/3,1075,C91.0,1424
9837/3,1077,C91.7,1430
9840/3,1079,C94.0,1448
9860/3,1080,C92.9,1440
9861/3,1081,C92.0,1433
9863/3,1082,C92.1,1434
9865/3,1083,C92.0,1433
9866/3,1084,C92.4,1437
9867/3,1085,C92.5,1438
9869/3,1086,C92.0,1433
9870/3,1087,C92.1,1434
9871/3,1088,C92.0,1433
9872/3,1089,C92.0,1433
9873/3,1090,C92.0,1433
9874/3,1091,C92.0,1433
9875/3,1092,C92.1,1434
9876/3,1093,C92.1,1434
9877/3,1248,C92.0,1433
9878/3,1249,C92.0,1433
9879/3,1250,C92.0,1433
9891/3,1094,C93.0,1442
9895/3,1095,C92.0,1433
9896/3,1096,C92.0,1433
9897/3,1097,C92.0,1433
9898/1,1098,D47.9,1795
9898/3,1099,C92.7,1439
9910/3,1100,C94.2,1450
9911/3,1101,C92.0,1433
9912/3,1251,C92.0,1433
9920/3,1102,C92.0,1433
9930/3,1103,C92.3,1436
9931/3,1104,C94.5,1453
9940/3,1105,C91.4,1428
9945/3,1107,C92.1,1434
9946/3,1108,C92.1,1434
9948/3,1109,C94.7,1454
9950/3,1111,D45,1780
9960/3,1112,D47.1,1791
9961/3,1113,D47.1,1791
9962/3,1114,D47.3,1793
9963/3,1115,D47.1,1791
9964/3,1116,C94.7,1454
9965/3,1117,D47.7,1794
9966/3,1118,D47.7,1794
9967/3,1119,D47.7,1794
9968/3,1252,D47.7,1794
9970/1,1121,D47.9,1795
9971/1,1122,D47.7,1794
9975/3,1124,D47.1,1791
9980/3,1126,D46.0,1782
9982/3,1127,D46.1,1783
9983/3,1128,D46.2,1784
9984/3,1129,D46.3,1785
9985/3,1130,D46.7,1787
9986/3,1131,D46.7,1787
9987/3,1132,D46.7,1787
9989/3,1133,D46.9,1788
9993/3,1253,D46.7,1787
