Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1487,1.2.643.5.1.13.13.11.1487
ID,CODE,ID,CODE
70,8082/3,325,C67.1
70,8082/3,326,C67.2
70,8082/3,327,C67.3
70,8082/3,328,C67.4
70,8082/3,329,C67.5
70,8082/3,330,C67.6
70,8082/3,331,C67.7
70,8082/3,332,C67.8
70,8082/3,333,C67.9
70,8082/3,335,C68.0
70,8082/3,336,C68.1
70,8082/3,337,C68.8
70,8082/3,338,C68.9
70,8082/3,409,C80.9
87,8102/3,154,C30.0
75,8090/3,154,C30.0
76,8091/3,154,C30.0
77,8092/3,154,C30.0
79,8094/3,154,C30.0
82,8097/3,154,C30.0
1145,8100/3,154,C30.0
86,8102/0,154,C30.0
78,8093/3,154,C30.0
88,8103/0,154,C30.0
1146,8103/1,154,C30.0
90,8110/3,154,C30.0
85,8101/0,154,C30.0
80,8095/3,154,C30.0
87,8102/3,215,C44.0
75,8090/3,215,C44.0
76,8091/3,215,C44.0
77,8092/3,215,C44.0
79,8094/3,215,C44.0
82,8097/3,215,C44.0
1145,8100/3,215,C44.0
86,8102/0,215,C44.0
78,8093/3,215,C44.0
88,8103/0,215,C44.0
1146,8103/1,215,C44.0
90,8110/3,215,C44.0
85,8101/0,215,C44.0
80,8095/3,215,C44.0
87,8102/3,216,C44.1
75,8090/3,216,C44.1
76,8091/3,216,C44.1
77,8092/3,216,C44.1
79,8094/3,216,C44.1
82,8097/3,216,C44.1
1145,8100/3,216,C44.1
86,8102/0,216,C44.1
78,8093/3,216,C44.1
88,8103/0,216,C44.1
1146,8103/1,216,C44.1
90,8110/3,216,C44.1
85,8101/0,216,C44.1
80,8095/3,216,C44.1
87,8102/3,217,C44.2
75,8090/3,217,C44.2
76,8091/3,217,C44.2
77,8092/3,217,C44.2
79,8094/3,217,C44.2
82,8097/3,217,C44.2
1145,8100/3,217,C44.2
86,8102/0,217,C44.2
78,8093/3,217,C44.2
88,8103/0,217,C44.2
1146,8103/1,217,C44.2
90,8110/3,217,C44.2
85,8101/0,217,C44.2
80,8095/3,217,C44.2
87,8102/3,218,C44.3
75,8090/3,218,C44.3
76,8091/3,218,C44.3
77,8092/3,218,C44.3
79,8094/3,218,C44.3
82,8097/3,218,C44.3
1145,8100/3,218,C44.3
86,8102/0,218,C44.3
78,8093/3,218,C44.3
88,8103/0,218,C44.3
1146,8103/1,218,C44.3
90,8110/3,218,C44.3
85,8101/0,218,C44.3
80,8095/3,218,C44.3
87,8102/3,219,C44.4
75,8090/3,219,C44.4
76,8091/3,219,C44.4
77,8092/3,219,C44.4
79,8094/3,219,C44.4
82,8097/3,219,C44.4
1145,8100/3,219,C44.4
86,8102/0,219,C44.4
78,8093/3,219,C44.4
88,8103/0,219,C44.4
1146,8103/1,219,C44.4
90,8110/3,219,C44.4
85,8101/0,219,C44.4
80,8095/3,219,C44.4
87,8102/3,220,C44.5
75,8090/3,220,C44.5
76,8091/3,220,C44.5
77,8092/3,220,C44.5
79,8094/3,220,C44.5
82,8097/3,220,C44.5
1145,8100/3,220,C44.5
86,8102/0,220,C44.5
78,8093/3,220,C44.5
88,8103/0,220,C44.5
1146,8103/1,220,C44.5
90,8110/3,220,C44.5
85,8101/0,220,C44.5
80,8095/3,220,C44.5
87,8102/3,221,C44.6
75,8090/3,221,C44.6
76,8091/3,221,C44.6
77,8092/3,221,C44.6
79,8094/3,221,C44.6
82,8097/3,221,C44.6
1145,8100/3,221,C44.6
86,8102/0,221,C44.6
78,8093/3,221,C44.6
88,8103/0,221,C44.6
1146,8103/1,221,C44.6
90,8110/3,221,C44.6
85,8101/0,221,C44.6
80,8095/3,221,C44.6
87,8102/3,222,C44.7
75,8090/3,222,C44.7
76,8091/3,222,C44.7
77,8092/3,222,C44.7
79,8094/3,222,C44.7
82,8097/3,222,C44.7
1145,8100/3,222,C44.7
86,8102/0,222,C44.7
78,8093/3,222,C44.7
88,8103/0,222,C44.7
1146,8103/1,222,C44.7
90,8110/3,222,C44.7
85,8101/0,222,C44.7
80,8095/3,222,C44.7
87,8102/3,223,C44.8
75,8090/3,223,C44.8
76,8091/3,223,C44.8
77,8092/3,223,C44.8
79,8094/3,223,C44.8
82,8097/3,223,C44.8
1145,8100/3,223,C44.8
86,8102/0,223,C44.8
78,8093/3,223,C44.8
88,8103/0,223,C44.8
1146,8103/1,223,C44.8
90,8110/3,223,C44.8
85,8101/0,223,C44.8
80,8095/3,223,C44.8
87,8102/3,224,C44.9
75,8090/3,224,C44.9
76,8091/3,224,C44.9
77,8092/3,224,C44.9
79,8094/3,224,C44.9
82,8097/3,224,C44.9
1145,8100/3,224,C44.9
86,8102/0,224,C44.9
78,8093/3,224,C44.9
88,8103/0,224,C44.9
1146,8103/1,224,C44.9
90,8110/3,224,C44.9
85,8101/0,224,C44.9
80,8095/3,224,C44.9
87,8102/3,262,C51.0
75,8090/3,262,C51.0
76,8091/3,262,C51.0
77,8092/3,262,C51.0
79,8094/3,262,C51.0
82,8097/3,262,C51.0
1145,8100/3,262,C51.0
86,8102/0,262,C51.0
78,8093/3,262,C51.0
88,8103/0,262,C51.0
1146,8103/1,262,C51.0
90,8110/3,262,C51.0
85,8101/0,262,C51.0
80,8095/3,262,C51.0
87,8102/3,263,C51.1
75,8090/3,263,C51.1
76,8091/3,263,C51.1
77,8092/3,263,C51.1
79,8094/3,263,C51.1
82,8097/3,263,C51.1
1145,8100/3,263,C51.1
86,8102/0,263,C51.1
78,8093/3,263,C51.1
88,8103/0,263,C51.1
1146,8103/1,263,C51.1
90,8110/3,263,C51.1
85,8101/0,263,C51.1
80,8095/3,263,C51.1
87,8102/3,264,C51.2
75,8090/3,264,C51.2
76,8091/3,264,C51.2
77,8092/3,264,C51.2
79,8094/3,264,C51.2
82,8097/3,264,C51.2
1145,8100/3,264,C51.2
86,8102/0,264,C51.2
78,8093/3,264,C51.2
88,8103/0,264,C51.2
1146,8103/1,264,C51.2
90,8110/3,264,C51.2
85,8101/0,264,C51.2
80,8095/3,264,C51.2
87,8102/3,265,C51.8
75,8090/3,265,C51.8
76,8091/3,265,C51.8
77,8092/3,265,C51.8
