Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Морфологические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды,Международная классификация болезней – Онкология (3 издание). Топографические коды
1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1486,1.2.643.5.1.13.13.11.1487,1.2.643.5.1.13.13.11.1487
ID,CODE,ID,CODE
11,8003/3,209,C42.0
12,8004/3,209,C42.0
2,8000/0,209,C42.0
10,8002/3,209,C42.0
9,8001/3,209,C42.0
8,8001/1,209,C42.0
7,8001/0,209,C42.0
6,8000/9,209,C42.0
5,8000/6,209,C42.0
4,8000/3,209,C42.0
3,8000/1,209,C42.0
13,8005/0,209,C42.0
11,8003/3,210,C42.1
12,8004/3,210,C42.1
2,8000/0,210,C42.1
10,8002/3,210,C42.1
9,8001/3,210,C42.1
8,8001/1,210,C42.1
7,8001/0,210,C42.1
6,8000/9,210,C42.1
5,8000/6,210,C42.1
4,8000/3,210,C42.1
3,8000/1,210,C42.1
13,8005/0,210,C42.1
11,8003/3,400,C77.0
12,8004/3,400,C77.0
2,8000/0,400,C77.0
10,8002/3,400,C77.0
9,8001/3,400,C77.0
8,8001/1,400,C77.0
7,8001/0,400,C77.0
6,8000/9,400,C77.0
5,8000/6,400,C77.0
4,8000/3,400,C77.0
3,8000/1,400,C77.0
13,8005/0,400,C77.0
11,8003/3,401,C77.1
12,8004/3,401,C77.1
2,8000/0,401,C77.1
10,8002/3,401,C77.1
9,8001/3,401,C77.1
8,8001/1,401,C77.1
7,8001/0,401,C77.1
6,8000/9,401,C77.1
5,8000/6,401,C77.1
4,8000/3,401,C77.1
3,8000/1,401,C77.1
13,8005/0,401,C77.1
11,8003/3,402,C77.2
12,8004/3,402,C77.2
2,8000/0,402,C77.2
10,8002/3,402,C77.2
9,8001/3,402,C77.2
8,8001/1,402,C77.2
7,8001/0,402,C77.2
6,8000/9,402,C77.2
5,8000/6,402,C77.2
4,8000/3,402,C77.2
3,8000/1,402,C77.2
13,8005/0,402,C77.2
11,8003/3,403,C77.3
12,8004/3,403,C77.3
2,8000/0,403,C77.3
10,8002/3,403,C77.3
9,8001/3,403,C77.3
8,8001/1,403,C77.3
7,8001/0,403,C77.3
6,8000/9,403,C77.3
5,8000/6,403,C77.3
4,8000/3,403,C77.3
3,8000/1,403,C77.3
13,8005/0,403,C77.3
11,8003/3,404,C77.4
12,8004/3,404,C77.4
2,8000/0,404,C77.4
10,8002/3,404,C77.4
9,8001/3,404,C77.4
8,8001/1,404,C77.4
7,8001/0,404,C77.4
6,8000/9,404,C77.4
5,8000/6,404,C77.4
4,8000/3,404,C77.4
3,8000/1,404,C77.4
13,8005/0,404,C77.4
11,8003/3,405,C77.5
12,8004/3,405,C77.5
2,8000/0,405,C77.5
10,8002/3,405,C77.5
9,8001/3,405,C77.5
8,8001/1,405,C77.5
7,8001/0,405,C77.5
6,8000/9,405,C77.5
5,8000/6,405,C77.5
4,8000/3,405,C77.5
3,8000/1,405,C77.5
13,8005/0,405,C77.5
11,8003/3,406,C77.8
12,8004/3,406,C77.8
2,8000/0,406,C77.8
10,8002/3,406,C77.8
9,8001/3,406,C77.8
8,8001/1,406,C77.8
7,8001/0,406,C77.8
6,8000/9,406,C77.8
5,8000/6,406,C77.8
4,8000/3,406,C77.8
3,8000/1,406,C77.8
13,8005/0,406,C77.8
11,8003/3,407,C77.9
12,8004/3,407,C77.9
2,8000/0,407,C77.9
10,8002/3,407,C77.9
9,8001/3,407,C77.9
8,8001/1,407,C77.9
7,8001/0,407,C77.9
6,8000/9,407,C77.9
5,8000/6,407,C77.9
4,8000/3,407,C77.9
3,8000/1,407,C77.9
13,8005/0,407,C77.9
201,8260/0,400,C77.0
207,8263/0,400,C77.0
206,8262/3,400,C77.0
205,8261/3,400,C77.0
204,8261/2,400,C77.0
203,8261/0,400,C77.0
202,8260/3,400,C77.0
1155,8260/1,400,C77.0
1154,8257/3,400,C77.0
1153,8256/3,400,C77.0
200,8255/3,400,C77.0
199,8254/3,400,C77.0
208,8263/2,400,C77.0
1152,8253/2,400,C77.0
215,8272/0,400,C77.0
197,8252/3,400,C77.0
196,8251/3,400,C77.0
198,8253/3,400,C77.0
1156,8273/3,400,C77.0
224,8300/3,400,C77.0
223,8300/0,400,C77.0
222,8290/3,400,C77.0
221,8290/0,400,C77.0
220,8281/3,400,C77.0
219,8281/0,400,C77.0
213,8270/3,400,C77.0
217,8280/0,400,C77.0
209,8263/3,400,C77.0
216,8272/3,400,C77.0
190,8247/3,400,C77.0
214,8271/0,400,C77.0
195,8251/0,400,C77.0
212,8270/0,400,C77.0
211,8265/3,400,C77.0
210,8264/0,400,C77.0
218,8280/3,400,C77.0
167,8211/3,400,C77.0
192,8249/3,400,C77.0
174,8220/3,400,C77.0
173,8220/0,400,C77.0
172,8215/3,400,C77.0
171,8214/3,400,C77.0
170,8213/3,400,C77.0
176,8221/3,400,C77.0
168,8212/0,400,C77.0
177,8230/2,400,C77.0
166,8211/0,400,C77.0
165,8210/3,400,C77.0
164,8210/2,400,C77.0
163,8210/0,400,C77.0
162,8204/0,400,C77.0
161,8202/0,400,C77.0
160,8201/3,400,C77.0
169,8213/0,400,C77.0
187,8245/1,400,C77.0
1151,8250/2,400,C77.0
193,8250/1,400,C77.0
1150,8250/0,400,C77.0
225,8310/0,400,C77.0
191,8248/1,400,C77.0
231,8313/3,400,C77.0
175,8221/0,400,C77.0
188,8245/3,400,C77.0
194,8250/3,400,C77.0
186,8244/3,400,C77.0
185,8243/3,400,C77.0
184,8242/3,400,C77.0
182,8241/3,400,C77.0
181,8240/3,400,C77.0
179,8231/3,400,C77.0
178,8230/3,400,C77.0
189,8246/3,400,C77.0
1164,8349/1,400,C77.0
229,8313/0,400,C77.0
271,8372/0,400,C77.0
270,8371/0,400,C77.0
269,8370/3,400,C77.0
268,8370/0,400,C77.0
267,8361/0,400,C77.0
273,8374/0,400,C77.0
265,8350/3,400,C77.0
274,8375/0,400,C77.0
1163,8348/1,400,C77.0
264,8347/3,400,C77.0
263,8346/3,400,C77.0
262,8345/3,400,C77.0
261,8344/3,400,C77.0
260,8343/3,400,C77.0
259,8342/3,400,C77.0
266,8360/1,400,C77.0
281,8382/3,400,C77.0
290,8400/1,400,C77.0
289,8400/0,400,C77.0
288,8392/0,400,C77.0
287,8391/0,400,C77.0
