Международная статистическая классификация болезней и проблем, связанных со здоровьем (10-й пересмотр);Международная статистическая классификация болезней и проблем, связанных со здоровьем (10-й пересмотр);РР. Стороны поражения  ;РР. Стороны поражения  
1.2.643.5.1.13.13.11.1005;1.2.643.5.1.13.13.11.1005;1.2.643.5.1.13.13.99.2.143 ;1.2.643.5.1.13.13.99.2.143 
MKB_CODE;ID;ID;NAME
C07;975;4;неприменимо 
C09;981;4;неприменимо 
C09.0;982;4;неприменимо 
C09.1;983;4;неприменимо 
C09.8;984;4;неприменимо 
C09.9;985;4;неприменимо 
C30.1;1089;4;неприменимо 
C30.0;1088;4;неприменимо 
C34;1105;4;неприменимо 
C34.0;1106;4;неприменимо 
C34.1;1107;4;неприменимо 
C34.2;1108;4;неприменимо 
C34.3;1109;4;неприменимо 
C34.8;1110;4;неприменимо 
C34.9;1111;4;неприменимо 
C38.4;1118;4;неприменимо 
C40.0;1126;4;неприменимо 
C40.1;1127;4;неприменимо 
C40.2;1128;4;неприменимо 
C40.3;1129;4;неприменимо 
C41.0;1133;4;неприменимо 
C41.1;1134;4;неприменимо 
C41.3;1136;4;неприменимо 
C41.4;1137;4;неприменимо 
C50.0;1205;4;неприменимо 
C50.1;1206;4;неприменимо 
C50.2;1207;4;неприменимо 
C50.3;1208;4;неприменимо 
C50.4;1209;4;неприменимо 
C50.5;1210;4;неприменимо 
C50.6;1211;4;неприменимо 
C50.8;1212;4;неприменимо 
C50.9;1213;4;неприменимо 
C56;1235;4;неприменимо 
C57.0;1237;4;неприменимо 
C62;1254;4;неприменимо 
C62.0;1255;4;неприменимо 
C62.1;1256;4;неприменимо 
C62.9;1257;4;неприменимо 
C64;1266;4;неприменимо 
C65;1267;4;неприменимо 
C69;1286;4;неприменимо 
C69.0;1287;4;неприменимо 
C69.1;1288;4;неприменимо 
C69.2;1289;4;неприменимо 
C69.3;1290;4;неприменимо 
C69.4;1291;4;неприменимо 
C69.5;1292;4;неприменимо 
C69.6;1293;4;неприменимо 
C69.8;1294;4;неприменимо 
C69.9;1295;4;неприменимо 
C74;1322;4;неприменимо 
C74.0;1323;4;неприменимо 
C74.1;1324;4;неприменимо 
C74.9;1325;4;неприменимо 
C66;1268;4;неприменимо 
C43.1;1143;4;неприменимо 
C43.2;1144;4;неприменимо 
C43.4;1146;4;неприменимо 
C43.5;1147;4;неприменимо 
C43.6;1148;4;неприменимо 
C43.7;1149;4;неприменимо 
C44.1;1154;4;неприменимо 
C44.2;1155;4;неприменимо 
C44.4;1157;4;неприменимо 
C44.5;1158;4;неприменимо 
C44.6;1159;4;неприменимо 
C44.7;1160;4;неприменимо 
C63.0;1259;4;неприменимо 
C63.1;1260;4;неприменимо 
D02.2;1487;4;неприменимо 
D03.1;1492;4;неприменимо 
D03.2;1493;4;неприменимо 
D03.4;1495;4;неприменимо 
D03.5;1496;4;неприменимо 
D03.6;1497;4;неприменимо 
D03.7;1498;4;неприменимо 
D04.1;1503;4;неприменимо 
D04.2;1504;4;неприменимо 
D04.4;1506;4;неприменимо 
D04.5;1507;4;неприменимо 
D04.6;1508;4;неприменимо 
D04.7;1509;4;неприменимо 
D05;1512;4;неприменимо 
D05.0;1513;4;неприменимо 
D05.1;1514;4;неприменимо 
D05.7;1515;4;неприменимо 
D09.2;1533;4;неприменимо 
